catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure,temperature,wind_direction,wind_speed,pressure,tide_level,tide_name,month_age,weather
4632950,2023-05-27 10:28:00+09:00,605555,ショウジン,1148,水の広場公園,969,チヌ,44.0,ミジ,21.0,南,2.8,1024,137.2,小潮,7.5,快晴
4632882,2023-05-27 09:50:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,40.0,ミジ団子,21.0,南,2.8,1024,141.9,小潮,7.5,快晴
4632849,2023-05-27 09:03:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,50.0,ミジ団子,21.0,南,2.8,1024,141.9,小潮,7.5,快晴
4632783,2023-05-27 08:01:00+09:00,605555,ショウジン,1148,水の広場公園,969,チヌ,35.5,ミジ団子,19.0,南南西,2.8,1024,140.7,小潮,7.5,快晴
4631250,2023-05-27 01:27:00+09:00,249916,kan777(江戸前),1150,有明西ふ頭公園,2,シーバス,60.0,メタルバイブ30g,19.0,南,5.0,1023,136.2,小潮,7.5,晴れ
4631573,2023-05-26 09:47:00+09:00,939911,アングラータカシ,1148,水の広場公園,185,クロダイ,51.0,,19.0,南南東,4.2,1026,143.6,小潮,6.5,快晴
4631467,2023-05-25 23:58:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,969,チヌ,43.0,ワンダージョイント58 - ぶらぴん,19.0,南,5.3,1025,147.8,中潮,5.5,快晴
4631456,2023-05-25 23:52:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,30.0,ワンダージョイント58 - ぶらぴん,19.0,南,5.3,1025,147.8,中潮,5.5,快晴
4631454,2023-05-25 23:50:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,30.0,ワンダージョイント58 - バチパラオレピン,19.0,南,5.0,1025,147.8,中潮,5.5,快晴
4621045,2023-05-23 21:41:00+09:00,757087,Kオヤジ,1148,水の広場公園,340,マルタウグイ,46.0,エリア10,14.0,北東,6.4,1004,164.7,中潮,3.5,小雨
